decile,n,n_bad,default_rate,avg_pred_pd
1,36714,36502,0.9942256359971673,0.948841697360578
2,36713,32690,0.8904202870917659,0.8493649721857298
3,36713,19153,0.5216953122872007,0.7502551288329383
4,36713,5462,0.14877563805736388,0.6496462576857746
5,36713,1105,0.030098330291722278,0.549165613367476
6,36713,262,0.007136436684553156,0.44915284102446307
7,36713,77,0.002097349712635851,0.34943908515841915
8,36713,22,0.0005992427750388146,0.2500421620656045
9,36713,10,0.00027238307956309755,0.15131522088321278
10,36713,2,5.447661591261951e-05,0.0527784149014057
