,0
B_5,8.165473e-05
D_42,7.426328e-05
P_2,7.2644e-05
S_23,6.361628e-05
S_26,5.508375e-05
B_2,4.720614e-05
D_50,4.533718e-05
B_18,4.5065208e-05
S_9,4.0768664e-05
D_65,3.9258306e-05
S_24,3.6902085e-05
B_1,3.6065e-05
S_3,3.4733395e-05
B_4,3.3366734e-05
B_3,3.1394033e-05
D_45,3.0734845e-05
B_11,3.0455449e-05
R_2,2.885979e-05
D_47,2.7833828e-05
D_43,2.7401822e-05
D_39,2.737347e-05
D_53,2.5688598e-05
D_44,2.5675e-05
D_60,2.503444e-05
S_5,2.4988836e-05
D_48,2.4944662e-05
R_1,2.4865452e-05
B_17,2.4697998e-05
P_3,2.4415584e-05
D_56,2.409006e-05
D_46,2.3922898e-05
R_3,2.1333039e-05
R_11,2.1089363e-05
S_25,2.0636346e-05
S_12,2.022766e-05
D_79,2.0012938e-05
S_15,1.907338e-05
D_112,1.7857621e-05
B_26,1.7741078e-05
B_22,1.7581691e-05
D_121,1.720671e-05
D_131,1.70087e-05
B_20,1.6463662e-05
D_70,1.5585434e-05
S_11,1.507876e-05
S_7,1.4363548e-05
D_61,1.3616784e-05
D_133,1.2991399e-05
D_54,1.2749279e-05
B_36,8.130631e-06
